"session","player","stage","step","round","time","timeup"
"room000001","779044961309147","instructions","instructions",1,39918,0
"room000001","779044961309147","quiz","quiz",1,2350,0
"room000001","779044961309147","game","guess",1,10049,1
"room000001","779044961309147","game","results",1,6177,1
"room000001","779044961309147","game","guess",2,10998,1
"room000001","779044961309147","game","results",2,6013,1
"room000001","779044961309147","game","guess",3,9758,0
"room000001","779044961309147","game","results",3,1256,0
"room000001","779044961309147","game","guess",4,1746,0
"room000001","779044961309147","game","results",4,1885,0
